"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap"
"Imagestoclassify","Q17__2023-01-19__03-06-13(22).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-19 03:06:13,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-19,"Unidentifiable",1462835,TRUE,"Q17"
"Imagestoclassify","Q22__2022-01-19__06-30-13(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-19 06:30:13,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-19,"QU2108",370006,TRUE,"Q22"
"Imagestoclassify","Q32__2023-01-19__23-03-04(1).JPG","BrendanAltingMLDP2023Images\Q32",2023-01-19 23:03:04,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-19,"QU2121",2398699,TRUE,"Q32"
"Imagestoclassify","Q23__2023-01-20__06-35-06(1).JPG","BrendanAltingMLDP2023Images\Q23",2023-01-20 06:35:06,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-20,"QU2101",2001018,TRUE,"Q23"
"Imagestoclassify","Q17__2023-01-20__22-53-58(1).JPG","BrendanAltingMLDP2023Images\Q17",2023-01-20 22:53:58,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-20,"QU2107",157659,TRUE,"Q17"
"Imagestoclassify","PS12__CamA__2023-01-21__00-38-14(1).JPG","BrendanAltingMLDP2023Images\PS12\CamA",2023-01-21 00:38:14,"false","true","false","false","false","Quoll","false","false",0,0,2023-01-21,"QU2101",64958,TRUE,"PS12"
"Imagestoclassify","Q18__2023-01-22__00-49-01(1).JPG","BrendanAltingMLDP2023Images\Q18",2023-01-22 00:49:01,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-22,"QU2110",342934,TRUE,"Q18"
"Imagestoclassify","PS17__CamB__2023-01-22__01-25-41(2).JPG","BrendanAltingMLDP2023Images\PS17\CamB",2023-01-22 01:25:41,"false","true","false","false","false","Quoll","false","false",0,0,2023-01-22,"QU2128",0,TRUE,"PS17"
"Imagestoclassify","PS14__CamB__2023-01-22__05-14-46(1).JPG","BrendanAltingMLDP2023Images\PS14\CamB",2023-01-22 05:14:46,"false","true","false","false","false","Quoll","false","false",0,0,2023-01-22,"QU2127",0,TRUE,"PS14"
"Imagestoclassify","Q22__2022-01-23__08-28-21(1).JPG","BrendanAltingMLDP2023Images\Q22",2023-01-23 08:28:21,"false","false","false","false","false","Quoll","false","false",0,0,2023-01-23,"QU2108",352582,TRUE,"Q22"
