"RootFolder","File","RelativePath","DateTime","DeleteFlag","animal","empty","person","vehicle","Species","Unidentifiable","Dark","No_Adults_Seq","No_Juv_Seq","Date","Individual","time_diff","keep_row","Trap","camtype"
"Imagestoclassify","PS16__CamB__2022-12-13__01-33-10(1).JPG","BrendanAltingMLDP2023Images\PS16\CamB",2022-12-13 01:33:10,"false","true","false","false","false","Fox","false","false",0,0,2022-12-13,"Unidentifiable",2678,TRUE,"PS16","Trail"
"Imagestoclassify","Q11__2022-12-13__23-49-50(1).JPG","BrendanAltingMLDP2023Images\Q11",2022-12-13 23:49:50,"false","false","false","false","false","Fox","false","false",0,0,2022-12-13,"Unidentifiable",80200,TRUE,"Q11","Baited"
"Imagestoclassify","PS16__CamB__2022-12-15__03-48-10(1).JPG","BrendanAltingMLDP2023Images\PS16\CamB",2022-12-15 03:48:10,"false","true","false","false","false","Fox","false","false",0,0,2022-12-15,"Unidentifiable",100697,TRUE,"PS16","Trail"
"Imagestoclassify","PS16__CamB__2022-12-16__00-01-46(1).JPG","BrendanAltingMLDP2023Images\PS16\CamB",2022-12-16 00:01:46,"false","true","false","false","false","Fox","false","false",0,0,2022-12-16,"Unidentifiable",72814,TRUE,"PS16","Trail"
"Imagestoclassify","PS12__CamA__2022-12-16__05-38-08(1).JPG","BrendanAltingMLDP2023Images\PS12\CamA",2022-12-16 05:38:08,"false","true","false","false","false","Fox","false","false",0,0,2022-12-16,"Unidentifiable",20178,TRUE,"PS12","Trail"
"Imagestoclassify","PS14__CamA__2022-12-16__23-03-11(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-16 23:03:11,"false","true","false","false","false","Fox","false","false",0,0,2022-12-16,"Unidentifiable",62029,TRUE,"PS14","Trail"
"Imagestoclassify","PS14__CamA__2022-12-17__02-55-35(1).JPG","BrendanAltingMLDP2023Images\PS14\CamA",2022-12-17 02:55:35,"false","true","false","false","false","Fox","false","false",0,0,2022-12-17,"Unidentifiable",13942,TRUE,"PS14","Trail"
"Imagestoclassify","PS18__CamB__2022-12-17__04-47-19(1).JPG","BrendanAltingMLDP2023Images\PS18\CamB",2022-12-17 04:47:19,"false","true","false","false","false","Fox","false","false",0,0,2022-12-17,"Unidentifiable",6703,TRUE,"PS18","Trail"
"Imagestoclassify","Q11__2022-12-17__05-15-37(1).JPG","BrendanAltingMLDP2023Images\Q11",2022-12-17 05:15:37,"false","false","false","false","false","Fox","false","false",0,0,2022-12-17,"Unidentifiable",1698,TRUE,"Q11","Baited"
"Imagestoclassify","PS21__CamB__2022-12-17__22-09-51(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-17 22:09:51,"false","true","false","false","false","Fox","false","false",0,0,2022-12-17,"Unidentifiable",60843,TRUE,"PS21","Trail"
"Imagestoclassify","PS21__CamB__2022-12-18__21-54-26(1).JPG","BrendanAltingMLDP2023Images\PS21\CamB",2022-12-18 21:54:26,"false","true","false","false","false","Fox","false","false",0,0,2022-12-18,"Unidentifiable",85474,TRUE,"PS21","Trail"
"Imagestoclassify","PS15__CamB__2022-12-18__22-52-09(1).JPG","BrendanAltingMLDP2023Images\PS15\CamB",2022-12-18 22:52:09,"false","true","false","false","false","Fox","false","false",0,0,2022-12-18,"Unidentifiable",3458,TRUE,"PS15","Trail"
"Imagestoclassify","PS14__CamB__2022-12-19__01-09-50(1).JPG","BrendanAltingMLDP2023Images\PS14\CamB",2022-12-19 01:09:50,"false","true","false","false","false","Fox","false","false",0,0,2022-12-19,"Unidentifiable",8260,TRUE,"PS14","Trail"
"Imagestoclassify","PS16__CamA__2022-12-19__03-15-37(4).JPG","BrendanAltingMLDP2023Images\PS16\CamA",2022-12-19 03:15:37,"false","true","false","false","false","Fox","false","false",0,0,2022-12-19,"Unidentifiable",7538,TRUE,"PS16","Trail"
"Imagestoclassify","PS15__CamB__2022-12-19__21-44-12(1).JPG","BrendanAltingMLDP2023Images\PS15\CamB",2022-12-19 21:44:12,"false","true","false","false","false","Fox","false","false",0,0,2022-12-19,"Unidentifiable",66104,TRUE,"PS15","Trail"
"Imagestoclassify","PS13__CamA__2022-12-19__23-13-29(1).JPG","BrendanAltingMLDP2023Images\PS13\CamA",2022-12-19 23:13:29,"false","true","false","false","false","Fox","false","false",0,0,2022-12-19,"Unidentifiable",5356,TRUE,"PS13","Trail"
